Nom,distinction reçue,fonction,occupation,pays de nationalité,Né le,Décédé le
Armand Étienne Méplain,,député français,personnalité politique,France,28 janvier 1824,1er février 1906
Théophile Nicolas Noblot,chevalier de la Légion d'honneur‎,député français,politicien,France,10 janvier 1824,17 juin 1891
Joseph-Pierre Magnin,,sénateur inamovible,politicien,France,1er janvier 1824,22 novembre 1910
Suzanne Melvil-Bloncourt,,député français,politicien,France,23 novembre 1823,9 novembre 1880
Gaston d'Audiffret-Pasquier,prix Montyon,sénateur inamovible,personnalité politique,France,20 octobre 1823,4 juin 1905
Albert Castelnau,,député français,Homme politique,France,25 septembre 1823,6 octobre 1877
Gaspard Médecin,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,22 septembre 1823,21 avril 1892
Albert Grévy,,sénateur inamovible,personnalité politique,France,23 août 1823,10 juillet 1899
Désiré Barodet,,député de la Seine,personnalité politique,France,27 juillet 1823,18 avril 1906
Alexandre Jullien,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,23 juillet 1823,4 février 1898
Félix du Temple,commandeur de la Légion d'honneur‎,député français,personnalité politique,France,18 juillet 1823,4 novembre 1890
Léon Laurent-Pichat,,sénateur inamovible,écrivain ou écrivaine,France,11 juillet 1823,12 juin 1886
Louis Cyprien Poujade,,député français,personnalité politique,France,1er juillet 1823,14 octobre 1898
Edmond de Pressensé,chevalier de la Légion d'honneur‎,sénateur inamovible,personnalité politique,France,21 juin 1823,8 avril 1891
Jean Lamorte,,député français,personnalité politique,France,7 juin 1823,29 avril 1884
Bernard Roudier,,député de la Gironde,Homme politique,France,25 avril 1823,11 janvier 1896
Ambroise Vente,chevalier de la Légion d'honneur‎,député français,personnalité politique,France,2 avril 1823,19 décembre 1882
Alfred Chanzy,grand-croix de la Légion d'honneur‎,sénateur inamovible,personnalité politique,FR,18 mars 1823,4 janvier 1883
Pierre Louis Jérôme Gustave de Combarieu,officier de la Légion d'honneur,député français,personnalité politique,France,7 mars 1823,9 novembre 1897
Pierre Dufaur de Gavardie,,,as de l'aviation,France,2 février 1823,18 mai 1910
Charles Lepère,,député français,personnalité politique,France,1er février 1823,6 septembre 1885
Auguste Le Provost de Launay,commandeur de la Légion d'honneur‎,député du Calvados,personnalité politique,France,25 janvier 1823,30 mars 1886
